sample	date_collection	date_closure	days_open	dsechellia	dmalerkotliana	wasps
1	18/03/2014	19/03/2014	1	14	29	0
2	18/03/2014	19/03/2014	1	10	8	0
3	18/03/2014	19/03/2014	1	3	36	0
4	20/03/2014	22/03/2014	2	15	0	0
5	20/03/2014	22/03/2014	2	13	0	0
6	21/03/2014	23/03/2014	2	18	0	0
7	21/03/2014	23/03/2014	2	2	0	0
8	21/03/2014	23/03/2014	2	9	0	0
9	21/03/2014	23/03/2014	2	4	0	0
10	22/03/2014	24/03/2014	2	46	0	0
11	22/03/2014	24/03/2014	2	11	0	0
12	31/03/2014	4/04/2014	4	0	8	3
13	1/03/2014	4/04/2014	3	0	4	0
14	1/03/2014	4/04/2014	3	0	10	0
15	1/03/2014	4/04/2014	3	3	7	6
16	1/03/2014	4/04/2014	3	0	1	0
17	1/03/2014	4/04/2014	3	0	1	0
18	1/03/2014	4/04/2014	3	0	4	0
19	1/03/2014	4/04/2014	3	0	1	0
						
						
						
						
						
						
						
						
						
