"sample"	"species"	"medium"	"treatment"	"start"	"not_parasitized"	"capsule"	"wasps"	"survival"	"mortality"
"mel6"	"melanogaster"	"noni"	"wasp"	25	1	0	0	1	24
"mel7"	"melanogaster"	"noni"	"wasp"	25	3	2	0	5	20
"mel8"	"melanogaster"	"noni"	"wasp"	25	6	0	0	6	19
"mel9"	"melanogaster"	"noni"	"wasp"	25	8	4	0	12	13
"sim6"	"simulans"	"noni"	"wasp"	25	28	0	2	30	0
"sim8"	"simulans"	"noni"	"wasp"	25	18	7	0	25	0
"sim9"	"simulans"	"noni"	"wasp"	25	7	1	0	8	17
"sim10"	"simulans"	"noni"	"wasp"	25	25	0	0	25	0
"mel10"	"melanogaster"	"noni"	"control"	25	14	0	0	14	11
"mel20"	"melanogaster"	"noni"	"control"	25	17	0	0	17	8
"sim15"	"simulans"	"noni"	"control"	25	23	0	0	23	2
"sim17"	"simulans"	"noni"	"control"	25	20	0	0	20	5
"sim19"	"simulans"	"noni"	"control"	25	26	0	0	26	0
"sim20"	"simulans"	"noni"	"control"	25	23	0	0	23	2
"mel1"	"melanogaster"	"yeast"	"wasp"	25	1	1	15	17	8
"mel2"	"melanogaster"	"yeast"	"wasp"	25	8	2	1	11	14
"mel3"	"melanogaster"	"yeast"	"wasp"	25	0	0	12	12	13
"mel4"	"melanogaster"	"yeast"	"wasp"	25	0	0	4	4	21
"sim1"	"simulans"	"yeast"	"wasp"	25	15	11	0	26	0
"sim2"	"simulans"	"yeast"	"wasp"	25	3	2	7	12	13
"sim3"	"simulans"	"yeast"	"wasp"	25	9	1	4	14	11
"sim4"	"simulans"	"yeast"	"wasp"	25	1	1	10	12	13
"mel5"	"melanogaster"	"yeast"	"control"	25	16	0	0	16	9
"mel16"	"melanogaster"	"yeast"	"control"	25	6	0	0	6	19
"mel17"	"melanogaster"	"yeast"	"control"	25	16	0	0	16	9
"mel19"	"melanogaster"	"yeast"	"control"	25	17	0	0	17	8
"sim5"	"simulans"	"yeast"	"control"	25	26	0	0	26	0
"sim16"	"simulans"	"yeast"	"control"	25	17	0	0	17	8
"sim18"	"simulans"	"yeast"	"control"	25	24	0	0	24	1
"sim21"	"simulans"	"yeast"	"control"	25	22	0	0	22	3
